System;name;L;a;b;R;G;B;hex
Pantone;397C;73;-11;92;190;184;0;#BEB800
Pantone;3975C;69;-4;85;187;168;0;#BBA800
Pantone;398C;65;-8;83;171;162;0;#ABA200
Pantone;3985C;57;-2;68;155;137;0;#9B8900
Pantone;399C;58;-5;72;153;141;0;#998D00
Pantone;3995C;39;0;44;106;91;7;#6A5B07
Pantone;400C;81;1;3;205;201;196;#CDC9C4
Pantone;401C;75;1;4;189;184;177;#BDB8B1
Pantone;402C;68;2;5;173;165;157;#ADA59D
Pantone;403C;60;2;6;152;143;134;#988F86
Pantone;404C;49;2;7;124;115;105;#7C7369
Pantone;405C;39;3;7;100;90;80;#645A50
Pantone;406C;80;2;2;202;196;194;#CAC4C2
Pantone;408C;64;4;3;165;153;151;#A59997
Pantone;409C;57;5;4;148;134;131;#948683
Pantone;410C;47;5;4;123;110;106;#7B6E6A
Pantone;411C;36;6;5;98;82;72;#62524E
Pantone;412C;19;5;5;55;43;39;#372B27
Pantone;413C;81;-1;3;200;201;195;#C8C9C3
Pantone;414C;74;-1;3;181;182;176;#B5B6B0
Pantone;415C;65;-1;4;157;157;150;#9D9D96
Pantone;416C;56;-2;5;135;136;127;#87887F
Pantone;417C;47;-2;6;110;111;100;#6E6F64
Pantone;418C;38;-2;6;90;91;81;#5A5B51
Pantone;419C;13;-2;3;31;33;28;#1F211C
Pantone;420C;82;0;0;204;204;204;#CCCCCC
Pantone;421C;76;0;-1;186;187;188;#BABBBC
Pantone;422C;69;0;-1;169;170;171;#A9AAAB
Pantone;423C;61;0;-1;147;148;149;#939495
Pantone;424C;51;-1;-2;118;122;125;#767A7D
Pantone;425C;38;-1;-2;86;89;92;#56595C
Pantone;426C;14;-1;-1;33;36;36;#212424
Pantone;427C;58;-1;-2;210;214;217;#D2D6D9
Pantone;428C;80;-1;-3;195;200;205;#C3C8CD
Pantone;429C;71;-1;-4;168;173;180;#A8ADB4
Pantone;430C;59;-2;-6;134;143;152;#868F98
Pantone;431C;44;-2;-7;97;106;116;#616A74
Pantone;432C;31;-2;-8;65;75;86;#414B56
Pantone;433C;16;-2;-6;33;41;48;#212930
Pantone;434C;82;4;-1;211;201;206;#D3C9CE
Pantone;435C;77;6;-1;200;186;192;#C8BAC0
Pantone;436C;70;7;-1;183;166;173;#B7A6AD
Pantone;437C;49;10;0;132;110;116;#846E74
